,TOP_HOT_AIR_TEMP,CHAMBER_EXT_TEMP,CHAMBER_OUTLET_TEMP,FEED_PUMP_FLOW,target
4790,186.60001,83.19999695,87.9000015,839.377,4
11229,186.8,87.69999695,92.4000015,1007.043,0
8,188.3,85.59999847,70.0,1085.486,3
4765,182.8,83.90000153,88.6999969,996.6537,0
6217,185.10001,81.5,85.9000015,1093.541,0
1005,182.5,83.0,87.5999985,853.268,4
4425,203.2,84.59999847,89.5999985,1055.486,1
6919,188.5,83.40000153,87.8000031,1018.599,0
3484,183.7,83.19999695,88.0,1004.825,0
11550,186.2,87.30000305,92.0,995.6031,0
3872,186.8,81.40000153,85.9000015,1045.097,0
9240,184.5,84.40000153,89.3000031,1015.214,0
2582,185.2,84.59999847,69.0999985,958.5992,3
4771,181.39999,59.30000305,89.3000031,980.5447,2
2712,183.5,59.69999695,89.6999969,984.0467,2
8990,183.5,85.59999847,90.5,984.0467,0
7821,187.0,84.59999847,89.5999985,1022.101,0
1184,183.60001,84.80000305,90.0,795.6031,4
3857,185.10001,82.30000305,66.8000031,1053.268,3
4827,183.0,83.69999695,88.5,1030.156,0
5991,185.5,86.19999695,91.4000015,987.4319,0
6395,183.5,84.19999695,89.0999985,992.1011,0
2396,186.8,85.59999847,91.0,901.712,4
1890,181.3,59.19999695,89.0,986.3813,2
5101,188.0,84.0,88.8000031,1112.101,0
8552,183.8,86.09999847,91.0,1002.49,0
1551,181.8,82.30000305,86.5999985,818.599,4
1305,200.8,84.5,89.5999985,1121.323,1
7400,184.2,85.09999847,89.5999985,996.6537,0
4775,183.3,83.40000153,88.3000031,1031.323,0
10751,186.60001,86.69999695,91.4000015,990.9338,0
1767,183.5,85.542239,90.452079,1005.48,0
5011,184.10001,84.69999695,90.0,1002.49,0
4158,188.8,89.0,73.9000015,949.3774,3
5848,188.39999,83.90000153,89.1999969,1114.319,0
10396,186.89999,86.5,91.1999969,974.8249,0
10798,187.10001,86.80000305,91.3000031,996.6537,0
2042,184.60001,83.80000305,88.5,1054.436,0
10582,185.10001,85.30000305,89.5999985,996.6537,0
2111,183.8,83.69999695,88.5,909.766,4
2466,184.7,85.90000153,90.8000031,809.377,4
6645,186.89999,83.40000153,88.4000015,1086.654,0
11157,186.5,86.90000153,92.0,972.4903,0
6793,188.10001,87.5,93.1999969,988.5992,0
4981,198.3,85.0,90.0,989.7665,1
6389,184.8,84.40000153,89.1999969,1010.545,0
3590,183.89999,58.69999695,88.8000031,1005.875,2
4960,197.60001,86.19999695,90.8000031,966.7704,1
3553,183.60001,84.59999847,89.0999985,826.654,4
8872,184.8,87.30000305,92.0999985,984.0467,0
140,182.2,85.59999847,90.1999969,1037.043,0
1440,184.39999,86.69999695,91.4000015,834.825,4
1054,185.3,85.59999847,89.9000015,880.934,4
1792,185.7,84.59999847,90.0,1033.658,0
1763,196.3,84.30000305,88.8000031,984.0467,1
2791,182.7,84.59999847,89.5999985,1022.101,0
699,185.60001,86.59999847,92.0999985,973.6576,0
2384,185.3,85.59999847,70.8000031,1108.599,3
5622,188.89999,83.40000153,88.1999969,1113.152,0
3553,198.60001,84.59999847,89.0999985,1026.654,1
5253,182.60001,86.5,91.5999985,771.3229,4
1230,184.3,84.30000305,89.3000031,832.49,4
5783,185.2,58.90000153,88.8000031,982.8794,2
542,185.5,84.40000153,68.6999969,1103.93,3
1276,200.89999,85.40000153,90.5,1024.436,1
8222,186.7,85.09999847,89.8000031,981.712,0
2218,181.60001,60.09999847,90.3000031,1000.156,2
5424,185.2,82.5,86.6999969,1077.432,0
